x,y
0,4.48E-08
9.77E-08,4.26E-08
1.95E-07,4.26E-08
2.93E-07,4.26E-08
3.91E-07,4.25E-08
4.88E-07,4.31E-08
5.86E-07,4.35E-08
6.84E-07,4.31E-08
7.81E-07,4.29E-08
8.79E-07,4.22E-08
9.77E-07,4.24E-08
1.07E-06,4.28E-08
1.17E-06,4.20E-08
1.27E-06,4.31E-08
1.37E-06,4.21E-08
1.46E-06,4.20E-08
1.56E-06,4.19E-08
1.66E-06,4.31E-08
1.76E-06,4.19E-08
1.86E-06,4.36E-08
1.95E-06,4.37E-08
2.05E-06,-1.52E-08
2.15E-06,-9.01E-08
2.25E-06,-1.24E-07
2.34E-06,-1.33E-07
2.44E-06,-1.36E-07
2.54E-06,-1.37E-07
2.64E-06,-1.38E-07
2.73E-06,-1.37E-07
2.83E-06,-1.36E-07
2.93E-06,-1.36E-07
3.03E-06,-1.35E-07
3.13E-06,-1.38E-07
3.22E-06,-1.38E-07
3.32E-06,-1.36E-07
3.42E-06,-1.29E-07
3.52E-06,-1.37E-07
3.61E-06,-1.32E-07
3.71E-06,-1.28E-07
3.81E-06,-1.36E-07
3.91E-06,-1.39E-07
4.00E-06,-1.39E-07
4.10E-06,-1.39E-07
4.20E-06,-1.39E-07
4.30E-06,-1.38E-07
4.39E-06,-1.37E-07
4.49E-06,-1.39E-07
4.59E-06,-1.37E-07
4.69E-06,-1.37E-07
4.79E-06,-1.38E-07
4.88E-06,-1.40E-07
4.98E-06,-1.38E-07
5.08E-06,-1.39E-07
5.18E-06,-1.38E-07
5.27E-06,-1.36E-07
5.37E-06,-1.36E-07
5.47E-06,-1.35E-07
5.57E-06,-1.36E-07
5.66E-06,-1.36E-07
5.76E-06,-1.37E-07
5.86E-06,-1.36E-07
5.96E-06,-1.37E-07
6.05E-06,-1.37E-07
6.15E-06,-1.34E-07
6.25E-06,-1.37E-07
6.35E-06,-1.37E-07
6.45E-06,-1.32E-07
6.54E-06,-1.24E-07
6.64E-06,-1.26E-07
6.74E-06,-1.38E-07
6.84E-06,-1.36E-07
6.93E-06,-1.37E-07
7.03E-06,-1.34E-07
7.13E-06,-1.11E-07
7.23E-06,-8.12E-08
7.32E-06,-5.15E-08
7.42E-06,-2.14E-08
7.52E-06,8.79E-09
7.62E-06,3.18E-08
7.71E-06,3.93E-08
7.81E-06,4.21E-08
7.91E-06,3.92E-08
8.01E-06,3.81E-08
8.11E-06,3.83E-08
8.20E-06,3.86E-08
8.30E-06,3.84E-08
8.40E-06,3.83E-08
8.50E-06,3.86E-08
8.59E-06,3.82E-08
8.69E-06,3.83E-08
8.79E-06,3.85E-08
8.89E-06,3.86E-08
8.98E-06,3.84E-08
9.08E-06,3.83E-08
9.18E-06,3.84E-08
9.28E-06,3.85E-08
9.38E-06,3.82E-08
9.47E-06,3.84E-08
