x,y
0,6.45E-08
2.34E-08,5.92E-08
4.69E-08,5.57E-08
7.03E-08,5.57E-08
9.38E-08,5.58E-08
1.17E-07,5.68E-08
1.41E-07,5.84E-08
1.64E-07,5.87E-08
1.88E-07,5.58E-08
2.11E-07,5.59E-08
2.34E-07,5.63E-08
2.58E-07,5.70E-08
2.81E-07,5.66E-08
3.05E-07,5.72E-08
3.28E-07,5.79E-08
3.52E-07,5.96E-08
3.75E-07,5.94E-08
3.98E-07,5.70E-08
4.22E-07,5.81E-08
4.45E-07,5.85E-08
4.69E-07,5.65E-08
4.92E-07,5.56E-08
5.16E-07,5.58E-08
5.39E-07,5.73E-08
5.63E-07,5.57E-08
5.86E-07,5.48E-08
6.09E-07,5.52E-08
6.33E-07,5.56E-08
6.56E-07,5.56E-08
6.80E-07,5.60E-08
7.03E-07,5.60E-08
7.27E-07,5.66E-08
7.50E-07,5.60E-08
7.73E-07,5.52E-08
7.97E-07,5.47E-08
8.20E-07,5.60E-08
8.44E-07,5.59E-08
8.67E-07,5.51E-08
8.91E-07,5.45E-08
9.14E-07,5.47E-08
9.38E-07,5.48E-08
9.61E-07,5.44E-08
9.84E-07,5.47E-08
1.01E-06,5.50E-08
1.03E-06,5.61E-08
1.05E-06,5.49E-08
1.08E-06,5.43E-08
1.10E-06,5.43E-08
1.13E-06,5.43E-08
1.15E-06,5.42E-08
1.17E-06,5.40E-08
1.20E-06,5.46E-08
1.22E-06,5.47E-08
1.24E-06,5.41E-08
1.27E-06,5.41E-08
1.29E-06,5.39E-08
1.31E-06,5.40E-08
1.34E-06,5.32E-08
1.36E-06,5.48E-08
1.38E-06,5.62E-08
1.41E-06,5.50E-08
1.43E-06,5.35E-08
1.45E-06,5.34E-08
1.48E-06,5.30E-08
1.50E-06,5.30E-08
1.52E-06,5.63E-08
1.55E-06,6.14E-08
1.57E-06,6.40E-08
1.59E-06,6.60E-08
1.62E-06,6.71E-08
1.64E-06,6.23E-08
1.66E-06,5.31E-08
1.69E-06,5.17E-08
1.71E-06,4.85E-08
1.73E-06,3.99E-08
1.76E-06,1.61E-08
1.78E-06,-1.35E-08
1.80E-06,-8.44E-08
1.83E-06,-1.02E-07
1.85E-06,-9.95E-08
1.88E-06,-1.02E-07
1.90E-06,-1.08E-07
1.92E-06,-1.12E-07
1.95E-06,-1.15E-07
1.97E-06,-1.18E-07
1.99E-06,-1.16E-07
2.02E-06,-1.15E-07
2.04E-06,-1.17E-07
2.06E-06,-1.19E-07
2.09E-06,-1.21E-07
2.11E-06,-1.23E-07
2.13E-06,-1.22E-07
2.16E-06,-1.21E-07
2.18E-06,-1.18E-07
2.20E-06,-1.17E-07
2.23E-06,-1.16E-07
2.25E-06,-1.16E-07
2.27E-06,-1.20E-07
2.30E-06,-1.26E-07
2.32E-06,-1.26E-07
2.34E-06,-1.25E-07
2.37E-06,-1.20E-07
2.39E-06,-1.21E-07
2.41E-06,-1.21E-07
2.44E-06,-1.24E-07
2.46E-06,-1.18E-07
2.48E-06,-1.19E-07
2.51E-06,-1.19E-07
2.53E-06,-1.24E-07
2.55E-06,-1.24E-07
2.58E-06,-1.21E-07
2.60E-06,-1.20E-07
2.63E-06,-1.18E-07
2.65E-06,-1.17E-07
2.67E-06,-1.16E-07
2.70E-06,-1.17E-07
2.72E-06,-1.21E-07
2.74E-06,-1.20E-07
2.77E-06,-1.19E-07
2.79E-06,-1.21E-07
2.81E-06,-1.21E-07
2.84E-06,-1.22E-07
2.86E-06,-1.19E-07
2.88E-06,-1.17E-07
2.91E-06,-1.15E-07
2.93E-06,-1.16E-07
2.95E-06,-1.19E-07
2.98E-06,-1.24E-07
3.00E-06,-1.24E-07
3.02E-06,-1.24E-07
3.05E-06,-1.24E-07
3.07E-06,-1.25E-07
3.09E-06,-1.25E-07
3.12E-06,-1.24E-07
3.14E-06,-1.25E-07
3.16E-06,-1.26E-07
3.19E-06,-1.25E-07
3.21E-06,-1.26E-07
3.23E-06,-1.26E-07
3.26E-06,-1.28E-07
3.28E-06,-1.28E-07
3.30E-06,-1.28E-07
3.33E-06,-1.28E-07
3.35E-06,-1.27E-07
3.38E-06,-1.28E-07
3.40E-06,-1.27E-07
3.42E-06,-1.26E-07
3.45E-06,-1.26E-07
3.47E-06,-1.26E-07
3.49E-06,-1.26E-07
3.52E-06,-1.26E-07
3.54E-06,-1.26E-07
3.56E-06,-1.26E-07
3.59E-06,-1.25E-07
3.61E-06,-1.22E-07
3.63E-06,-1.25E-07
3.66E-06,-1.24E-07
3.68E-06,-1.25E-07
3.70E-06,-1.27E-07
3.73E-06,-1.27E-07
3.75E-06,-1.28E-07
3.77E-06,-1.26E-07
3.80E-06,-1.26E-07
3.82E-06,-1.28E-07
3.84E-06,-1.28E-07
3.87E-06,-1.26E-07
3.89E-06,-1.25E-07
3.91E-06,-1.27E-07
3.94E-06,-1.29E-07
3.96E-06,-1.29E-07
3.98E-06,-1.27E-07
4.01E-06,-1.25E-07
4.03E-06,-1.25E-07
4.05E-06,-1.25E-07
4.08E-06,-1.25E-07
4.10E-06,-1.25E-07
4.13E-06,-1.25E-07
4.15E-06,-1.26E-07
4.17E-06,-1.27E-07
4.20E-06,-1.26E-07
4.22E-06,-1.26E-07
4.24E-06,-1.27E-07
4.27E-06,-1.27E-07
4.29E-06,-1.27E-07
4.31E-06,-1.28E-07
4.34E-06,-1.27E-07
4.36E-06,-1.26E-07
4.38E-06,-1.26E-07
4.41E-06,-1.25E-07
4.43E-06,-1.25E-07
4.45E-06,-1.26E-07
4.48E-06,-1.26E-07
4.50E-06,-1.27E-07
4.52E-06,-1.26E-07
4.55E-06,-1.26E-07
4.57E-06,-1.26E-07
4.59E-06,-1.26E-07
4.62E-06,-1.25E-07
4.64E-06,-1.24E-07
4.66E-06,-1.23E-07
4.69E-06,-1.22E-07
4.71E-06,-1.23E-07
4.73E-06,-1.23E-07
4.76E-06,-1.25E-07
4.78E-06,-1.27E-07
4.80E-06,-1.27E-07
4.83E-06,-1.26E-07
4.85E-06,-1.27E-07
4.88E-06,-1.26E-07
4.90E-06,-1.25E-07
4.92E-06,-1.24E-07
4.95E-06,-1.23E-07
4.97E-06,-1.25E-07
4.99E-06,-1.27E-07
5.02E-06,-1.27E-07
5.04E-06,-1.27E-07
5.06E-06,-1.26E-07
5.09E-06,-1.26E-07
5.11E-06,-1.26E-07
5.13E-06,-1.25E-07
5.16E-06,-1.25E-07
5.18E-06,-1.26E-07
5.20E-06,-1.27E-07
5.23E-06,-1.28E-07
5.25E-06,-1.25E-07
5.27E-06,-1.24E-07
5.30E-06,-1.23E-07
5.32E-06,-1.22E-07
5.34E-06,-1.21E-07
5.37E-06,-1.23E-07
5.39E-06,-1.24E-07
5.41E-06,-1.25E-07
5.44E-06,-1.25E-07
5.46E-06,-1.25E-07
5.48E-06,-1.25E-07
5.51E-06,-1.25E-07
5.53E-06,-1.24E-07
5.55E-06,-1.25E-07
5.58E-06,-1.25E-07
5.60E-06,-1.26E-07
5.63E-06,-1.25E-07
5.65E-06,-1.26E-07
5.67E-06,-1.25E-07
5.70E-06,-1.25E-07
5.72E-06,-1.25E-07
5.74E-06,-1.24E-07
5.77E-06,-1.22E-07
5.79E-06,-1.22E-07
5.81E-06,-1.21E-07
5.84E-06,-1.22E-07
5.86E-06,-1.21E-07
5.88E-06,-1.23E-07
5.91E-06,-1.21E-07
5.93E-06,-1.18E-07
5.95E-06,-1.15E-07
5.98E-06,-1.16E-07
6.00E-06,-1.15E-07
6.02E-06,-1.16E-07
6.05E-06,-1.16E-07
6.07E-06,-1.20E-07
6.09E-06,-1.22E-07
6.12E-06,-1.22E-07
6.14E-06,-1.22E-07
6.16E-06,-1.21E-07
6.19E-06,-1.20E-07
6.21E-06,-1.19E-07
6.23E-06,-1.22E-07
6.26E-06,-1.22E-07
6.28E-06,-1.18E-07
6.30E-06,-1.17E-07
6.33E-06,-1.18E-07
6.35E-06,-1.20E-07
6.38E-06,-1.23E-07
6.40E-06,-1.20E-07
6.42E-06,-1.17E-07
6.45E-06,-1.17E-07
6.47E-06,-1.18E-07
6.49E-06,-1.19E-07
6.52E-06,-1.23E-07
6.54E-06,-1.27E-07
6.56E-06,-1.28E-07
6.59E-06,-1.24E-07
6.61E-06,-1.22E-07
6.63E-06,-1.22E-07
6.66E-06,-1.21E-07
6.68E-06,-1.21E-07
6.70E-06,-1.21E-07
6.73E-06,-1.22E-07
6.75E-06,-1.21E-07
6.77E-06,-1.20E-07
6.80E-06,-1.20E-07
6.82E-06,-1.20E-07
6.84E-06,-1.20E-07
6.87E-06,-1.20E-07
6.89E-06,-1.23E-07
6.91E-06,-1.24E-07
6.94E-06,-1.24E-07
6.96E-06,-1.24E-07
6.98E-06,-1.24E-07
7.01E-06,-1.22E-07
7.03E-06,-1.21E-07
7.05E-06,-1.20E-07
7.08E-06,-1.03E-07
7.10E-06,-7.72E-08
