Engineering Strain 1,Engineering Stress 1 (MPa),Displacement (mm),Force (N),Engineering Strain 2,Engineering Stress 2 (MPa)
0,0,0.000,0.000,0,0
0.0005,102.3291104,0.004,494.297,0.0001571091909,55.10557414
0.00102,204.6582208,0.004,632.523,0.0001571091909,70.51538462
0.00146,293.486639,0.001,737.398,0.00003927729772,82.20713489
0.0023,272.9287667,0.001,833.917,0.00003927729772,92.96733556
0.0031,264.0305832,0.007,924.378,0.0002749410841,103.0521739
0.005,268.9399258,0.007,1010.041,0.0002749410841,112.6021182
0.007,267.5591732,0.010,1090.287,0.0003927729772,121.5481605
0.01,264.0305832,0.011,1165.849,0.0004320502749,129.9720178
0.049,318.6470199,0.010,1238.073,0.0003927729772,138.0237458
0.125,372.036121,0.017,1307.031,0.0006677140613,145.7113712
0.218,394.4349968,0.017,1372.048,0.0006677140613,152.9596433
0.234,395.0486646,0.016,1431.657,0.0006284367636,159.6050167
0.306,384.1560606,0.020,1490.600,0.0007855459544,166.1761427
0.33,360.3764323,0.023,1547.049,0.0009033778476,172.4692308
0.348,327.5452035,0.023,1601.410,0.0009033778476,178.5295429
0.36,289.958049,0.020,1651.190,0.0007855459544,184.0791527
0.366,266.7920884,0.017,1700.931,0.0006677140613,189.6244147
,,0.025,1749.907,0.000981932443,195.0843924
,,0.026,1798.934,0.001021209741,200.5500557
,,0.026,1847.310,0.001021209741,205.9431438
,,0.020,1895.535,0.0007855459544,211.319398
,,0.025,1945.582,0.000981932443,216.8987737
,,0.029,1993.944,0.001139041634,222.290301
,,0.029,2042.786,0.001139041634,227.73534
,,0.026,2091.906,0.001021209741,233.2113712
,,0.019,2141.844,0.0007462686567,238.7785953
,,0.029,2191.719,0.001139041634,244.338796
,,0.029,2241.950,0.001139041634,249.9386845
,,0.028,2293.014,0.001099764336,255.6314381
,,0.028,2343.079,0.001099764336,261.2128205
,,0.032,2394.462,0.001256873527,266.9411371
,,0.035,2445.149,0.00137470542,272.5918618
,,0.035,2495.874,0.00137470542,278.2468227
,,0.034,2546.785,0.001335428123,283.9225195
,,0.037,2598.789,0.001453260016,289.7200669
,,0.040,2649.761,0.001571091909,295.4025641
,,0.037,2701.720,0.001453260016,301.1950948
,,0.035,2754.605,0.00137470542,307.0908584
,,0.035,2806.573,0.00137470542,312.8843924
,,0.046,2858.900,0.001806755695,318.7179487
,,0.046,2911.137,0.001806755695,324.5414716
,,0.047,2964.296,0.001846032993,330.4677815
,,0.041,3017.799,0.001610369207,336.4324415
,,0.047,3072.336,0.001846032993,342.5123746
,,0.046,3125.471,0.001806755695,348.4360089
,,0.047,3179.147,0.001846032993,354.4199554
,,0.046,3231.769,0.001806755695,360.2863991
,,0.050,3286.483,0.001963864886,366.3860647
,,0.058,3339.945,0.002278083268,372.3461538
,,0.056,3394.537,0.002199528672,378.4322185
,,0.050,3449.300,0.001963864886,384.5373467
,,0.049,3502.750,0.001924587588,390.4960981
,,0.058,3557.683,0.002278083268,396.6201784
,,0.061,3611.623,0.002395915161,402.6335563
,,0.059,3665.479,0.002317360566,408.6375697
,,0.059,3720.580,0.002317360566,414.780379
,,0.068,3773.865,0.002670856245,420.7207358
,,0.068,3827.539,0.002670856245,426.7044593
,,0.064,3881.773,0.002513747054,432.7506132
,,0.061,3935.442,0.002395915161,438.7337793
,,0.071,3989.537,0.002788688138,444.764437
,,0.073,4043.902,0.002867242734,450.8251951
,,0.071,4098.822,0.002788688138,456.9478261
,,0.068,4152.528,0.002670856245,462.9351171
,,0.070,4206.305,0.002749410841,468.9303233
,,0.076,4260.238,0.002985074627,474.9429208
,,0.076,4314.166,0.002985074627,480.954961
,,0.079,4367.528,0.00310290652,486.9039019
,,0.079,4420.991,0.00310290652,492.8641026
,,0.080,4473.877,0.003142183818,498.7599777
,,0.083,4527.378,0.003260015711,504.7244147
,,0.083,4580.050,0.003260015711,510.5964326
,,0.086,4632.341,0.003377847604,516.4259755
,,0.083,4684.411,0.003260015711,522.2308807
,,0.086,4736.597,0.003377847604,528.0487179
,,0.088,4789.068,0.0034564022,533.8983278
,,0.088,4840.292,0.0034564022,539.6089186
,,0.095,4893.029,0.003731343284,545.4881828
,,0.098,4944.565,0.003849175177,551.2335563
,,0.101,4994.756,0.00396700707,556.8289855
,,0.101,5046.058,0.00396700707,562.548272
,,0.101,5096.814,0.00396700707,568.206689
,,0.101,5147.251,0.00396700707,573.8295429
,,0.105,5196.677,0.004124116261,579.3396878
,,0.110,5246.966,0.004320502749,584.9460424
,,0.110,5296.209,0.004320502749,590.435786
,,0.113,5344.507,0.004438334643,595.8201784
,,0.116,5392.946,0.004556166536,601.2202899
,,0.116,5441.212,0.004556166536,606.6011148
,,0.116,5489.566,0.004556166536,611.9917503
,,0.119,5537.411,0.004673998429,617.325641
,,0.129,5584.574,0.005066771406,622.5835006
,,0.128,5631.387,0.005027494108,627.8023411
,,0.129,5678.104,0.005066771406,633.0104794
,,0.134,5725.721,0.005263157895,638.3189521
,,0.140,5770.924,0.005498821681,643.3583055
,,0.138,5816.019,0.005420267086,648.3856187
,,0.138,5862.991,0.005420267086,653.6221851
,,0.144,5908.256,0.005655930872,658.6684504
,,0.150,5952.620,0.005891594658,663.6142698
,,0.150,5997.757,0.005891594658,668.6462653
,,0.150,6041.416,0.005891594658,673.5134894
,,0.151,6084.780,0.005930871956,678.3478261
,,0.156,6127.555,0.006127258445,683.1164994
,,0.159,6170.302,0.006245090338,687.8820513
,,0.162,6212.926,0.006362922231,692.6338907
,,0.162,6254.592,0.006362922231,697.2789298
,,0.171,6297.125,0.00671641791,702.0206243
,,0.178,6338.566,0.006991358995,706.6405797
,,0.178,6379.876,0.006991358995,711.2459309
,,0.174,6420.383,0.006834249804,715.7617614
,,0.181,6459.638,0.007109190888,720.1380156
,,0.187,6498.853,0.007344854674,724.5098105
,,0.186,6538.304,0.007305577376,728.9079153
,,0.190,6578.345,0.007462686567,733.3717949
,,0.196,6615.917,0.007698350353,737.5604236
,,0.202,6653.224,0.00793401414,741.7195095
,,0.201,6690.306,0.007894736842,745.8535117
,,0.202,6726.485,0.00793401414,749.886845
,,0.211,6760.903,0.008287509819,753.7238573
,,0.211,6796.910,0.008287509819,757.7380156
,,0.212,6832.158,0.008326787117,761.6675585
,,0.220,6865.821,0.008641005499,765.4204013
,,0.226,6900.494,0.008876669285,769.2858417
,,0.229,6933.808,0.008994501178,772.999777
,,0.233,6965.910,0.009151610369,776.5785953
,,0.238,6997.515,0.009347996858,780.1020067
,,0.245,7028.001,0.009622937942,783.5006689
,,0.239,7059.217,0.009387274156,786.9807135
,,0.245,7088.629,0.009622937942,790.2596433
,,0.254,7119.609,0.009976433621,793.7133779
,,0.260,7149.018,0.01021209741,796.9919732
,,0.263,7177.473,0.0103299293,800.164214
