distance,fe
0.00,0.996076
3.12,0.967904
6.24,0.986935
9.37,0.989093
12.49,0.999998
15.61,0.945296
18.73,0.998914
21.85,0.957852
24.98,0.975218
28.10,0.983262
31.22,0.988749
34.34,0.988907
37.46,0.981313
40.58,0.999998
43.71,0.971736
46.83,0.953462
49.95,0.97567
53.07,0.979482
56.19,0.988478
59.32,0.25559
62.44,0.461756
65.56,0.365583
68.68,0.342481
71.80,0.31379
74.93,0.347439
78.05,0.281792
81.17,0.216091
84.29,0.169519
87.41,0.0216067
90.53,0.166391
93.66,0.0824634
96.78,0.158158
99.90,0.073112
103.02,0.101061
106.14,3.44E-07
109.27,4.57E-07
112.39,0.152918
115.51,0.0205858
118.63,0.0572501
121.75,5.85E-07
124.88,0.127292
128.00,0.03794
131.12,0.166653
134.24,0.0452861
137.36,0.0721203
140.49,0.217438
143.61,4.81E-07
146.73,4.90E-07
149.85,0.0240794
152.97,0.123126
156.09,0.103106
159.22,0.158468
162.34,0.0897962
165.46,0.0654678
168.58,0.0701479
171.70,0.00691596
174.83,0.0504771
177.95,8.22E-07
181.07,0.0440813
184.19,0.0714239
187.31,7.61E-07
190.44,7.85E-07
193.56,8.41E-07
196.68,0.00729115
199.80,0.122255
202.92,7.72E-07
206.04,8.53E-07
209.17,7.38E-07
212.29,0.0950625
215.41,0.0783903
218.53,0.00310133
221.65,0.0167832
224.78,0.0841505
227.90,0.133463
231.02,7.68E-07
234.14,0.105998
237.26,7.46E-07
240.39,0.0619192
243.51,6.39E-07
246.63,6.44E-07
249.75,7.60E-07
252.87,0.0859905
255.99,0.0448071
259.12,0.0330846
262.24,8.42E-07
265.36,8.15E-07
268.48,8.55E-07
271.60,0.0572814
274.73,0.108213
277.85,0.0179518
280.97,7.12E-07
284.09,8.95E-07
287.21,0.0885895
290.34,7.37E-07
293.46,6.91E-07
296.58,7.13E-07
299.70,5.94E-07
302.82,0.0257981
305.95,8.39E-07
309.07,4.85E-07
312.19,6.33E-07
315.31,4.12E-07
318.43,7.10E-07
321.55,0.0298718
324.68,0.00560629
327.80,7.01E-07
330.92,0.050713
334.04,5.55E-07
337.16,6.20E-07
340.29,0.0672717
343.41,7.67E-07
346.53,7.81E-07
349.65,5.13E-07
352.77,7.42E-07
355.90,6.77E-07
359.02,7.76E-07
362.14,8.91E-07
365.26,7.54E-07
368.38,7.41E-07
371.50,4.80E-07
374.63,6.46E-07
377.75,4.19E-07
380.87,3.75E-07
383.99,3.88E-07
387.11,4.13E-07
390.24,6.11E-07
393.36,5.54E-07
396.48,0.0212376
