distance,fe
0,0.988595
1.28992126,0.987981
2.57984252,0.985816
3.86976378,0.989825
5.159685039,0.985128
6.449606299,0.989763
7.739527559,0.988617
9.029448819,0.987511
10.31937008,0.98479
11.60929134,0.990155
12.8992126,0.984672
14.18913386,0.986437
15.47905512,0.979952
16.76897638,0.945968
18.05889764,0.414831
19.3488189,0.071801
20.63874016,0.0682975
21.92866142,0.0564246
23.21858268,0.0424291
24.50850394,0.051576
25.7984252,0.0178471
27.08834646,0.0154305
28.37826772,0.0335128
29.66818898,0.0419668
30.95811024,0.0440771
32.2480315,0.0465563
33.53795276,0.0378684
34.82787402,0.0409018
36.11779528,0.0107187
37.40771654,0.00726059
38.6976378,0.0183152
39.98755906,0.0353291
41.27748031,0.0436158
42.56740157,0.0404636
43.85732283,0.0287641
45.14724409,0.0412022
46.43716535,0.0355156
47.72708661,0.0403651
49.01700787,0.0458864
50.30692913,0.0383205
51.59685039,0.044974
52.88677165,0.0372644
54.17669291,0.0510685
55.46661417,0.0399926
56.75653543,0.0334732
58.04645669,0.0151513
59.33637795,0.0186194
60.62629921,0.0232862
61.91622047,0.0452997
63.20614173,0.0363623
64.49606299,0.0374653
65.78598425,0.0289779
67.07590551,0.0348793
68.36582677,0.0383361
69.65574803,0.0402011
70.94566929,0.0359156
72.23559055,0.01756
73.52551181,0.0341871
74.81543307,0.0391614
76.10535433,0.0525296
77.39527559,0.0313569
78.68519685,0.0529743
79.97511811,0.047172
81.26503937,0.0492043
82.55496063,0.0586215
83.84488189,0.0458203
85.13480315,0.0492053
86.42472441,0.051584
87.71464567,0.0468305
89.00456693,0.0493577
90.29448819,0.0474647
91.58440945,0.0457835
92.87433071,0.0440327
94.16425197,0.0504238
95.45417323,0.0125446
96.74409449,0.0169505
98.03401575,0.00711148
99.32393701,0.0178755
100.6138583,0.0390452
101.9037795,0.027265
103.1937008,0.0259266
104.483622,0.038175
105.7735433,0.0468659
107.0634646,0.0285171
108.3533858,0.038007
109.6433071,0.0380044
110.9332283,0.0367784
112.2231496,0.0410748
113.5130709,0.0119938
114.8029921,0.0321473
116.0929134,0.0382143
117.3828346,0.0444793
118.6727559,0.0452282
119.9626772,0.0463397
121.2525984,0.0455864
122.5425197,0.0569083
123.8324409,0.0365142
125.1223622,0.0371801
126.4122835,0.0417879
127.7022047,0.0353286
128.992126,0.0474508
130.2820472,0.0535835
131.5719685,0.0427829
132.8618898,0.0334688
134.151811,0.0401628
135.4417323,0.0477324
136.7316535,0.0499431
138.0215748,0.0479256
139.3114961,0.0314247
140.6014173,0.0411732
141.8913386,0.043874
143.1812598,0.0451384
144.4711811,0.0525568
145.7611024,0.0436098
147.0510236,0.0495282
148.3409449,0.0312448
149.6308661,0.032592
150.9207874,0.0408204
152.2107087,0.0362086
153.5006299,0.0342682
154.7905512,0.0406749
156.0804724,0.0438124
157.3703937,0.0476111
158.660315,0.050967
159.9502362,0.0436316
161.2401575,0.0515127
162.5300787,0.0503188
163.82,0.0457274
