X_(px),Y_deviation_(px)
3084,-123.851
3080,-123.851
3076,-119.851
3072,-119.851
3068,-119.851
3064,-115.851
3060,-115.851
3056,-115.851
3052,-111.851
3048,-111.851
3044,-111.851
3044,-107.851
3040,-107.851
3036,-107.851
3032,-107.851
3028,-107.851
3024,-107.851
3020,-107.851
3016,-103.851
3012,-103.851
3008,-103.851
3004,-103.851
3004,-99.851
3000,-99.851
2996,-99.851
2996,-95.851
2996,-91.851
2992,-91.851
2992,-87.851
2988,-87.851
2988,-83.851
2984,-83.851
2984,-79.851
2980,-75.851
2976,-71.851
2976,-67.851
2972,-67.851
2968,-67.851
2968,-63.851
2968,-59.851
2964,-55.851
2964,-51.851
2960,-51.851
2960,-47.851
2960,-43.851
2956,-43.851
2956,-39.851
2952,-39.851
2952,-35.851
2948,-35.851
2948,-31.851
2948,-27.851
2944,-27.851
2944,-23.851
2940,-23.851
2940,-19.851
2936,-19.851
2932,-19.851
2932,-15.851
2928,-15.851
2928,-11.851
2924,-11.851
2924,-7.851
2920,-7.851
2916,-7.851
2916,-3.851
2912,-3.851
2912,0.149
2908,4.149
2908,8.149
2904,8.149
2900,12.149
2900,16.149
2896,16.149
2896,20.149
2892,20.149
2892,24.149
2892,28.149
2888,28.149
2884,28.149
2884,32.149
2880,32.149
2880,36.149
2876,36.149
2876,40.149
2872,40.149
2868,44.149
2864,44.149
2860,44.149
2860,48.149
2856,48.149
2852,48.149
2848,48.149
2848,52.149
2844,52.149
2844,56.149
2840,56.149
2836,56.149
2832,56.149
2832,60.149
2828,60.149
2824,60.149
2820,64.149
2816,64.149
2812,64.149
2808,64.149
2804,64.149
2800,64.149
2796,64.149
2792,64.149
2788,64.149
2784,64.149
2780,64.149
2776,64.149
2772,60.149
2768,60.149
2760,60.149
2756,60.149
2752,56.149
2748,56.149
2744,56.149
2740,52.149
2736,52.149
2732,48.149
2728,48.149
2724,48.149
2720,44.149
2716,44.149
2716,40.149
2712,40.149
2708,40.149
2704,40.149
2704,36.149
2700,32.149
2696,32.149
2692,28.149
2688,28.149
2684,28.149
2684,24.149
