X_(px),Y_deviation_(px)
4.000,-32.948
5.000,-32.948
6.000,-32.948
7.000,-32.948
8.000,-32.948
9.000,-32.948
10.000,-32.948
11.000,-32.948
12.000,-32.948
12.000,-31.948
12.000,-30.948
12.000,-29.948
12.000,-28.948
13.000,-28.948
14.000,-28.948
15.000,-28.948
16.000,-28.948
17.000,-28.948
18.000,-28.948
19.000,-28.948
20.000,-28.948
21.000,-28.948
22.000,-28.948
23.000,-28.948
24.000,-28.948
24.000,-27.948
24.000,-26.948
24.000,-25.948
24.000,-24.948
25.000,-24.948
26.000,-24.948
27.000,-24.948
28.000,-24.948
28.000,-23.948
28.000,-22.948
28.000,-21.948
28.000,-20.948
29.000,-20.948
30.000,-20.948
31.000,-20.948
32.000,-20.948
33.000,-20.948
34.000,-20.948
35.000,-20.948
36.000,-20.948
36.000,-19.948
36.000,-18.948
36.000,-17.948
36.000,-16.948
37.000,-16.948
38.000,-16.948
39.000,-16.948
40.000,-16.948
41.000,-16.948
42.000,-16.948
43.000,-16.948
44.000,-16.948
44.000,-15.948
44.000,-14.948
44.000,-13.948
44.000,-12.948
45.000,-12.948
46.000,-12.948
47.000,-12.948
48.000,-12.948
48.000,-13.948
48.000,-14.948
48.000,-15.948
48.000,-16.948
49.000,-16.948
50.000,-16.948
51.000,-16.948
52.000,-16.948
53.000,-16.948
54.000,-16.948
55.000,-16.948
56.000,-16.948
57.000,-16.948
58.000,-16.948
59.000,-16.948
60.000,-16.948
60.000,-17.948
60.000,-18.948
60.000,-19.948
60.000,-20.948
61.000,-20.948
62.000,-20.948
63.000,-20.948
64.000,-20.948
64.000,-21.948
64.000,-22.948
64.000,-23.948
64.000,-24.948
65.000,-24.948
66.000,-24.948
67.000,-24.948
68.000,-24.948
68.000,-25.948
68.000,-26.948
68.000,-27.948
68.000,-28.948
69.000,-28.948
70.000,-28.948
71.000,-28.948
72.000,-28.948
72.707,-29.655
73.414,-30.362
74.121,-31.070
74.828,-31.777
75.536,-32.484
76.000,-33.369
76.000,-34.369
76.000,-35.369
76.000,-36.369
76.815,-36.948
77.815,-36.948
78.815,-36.948
79.815,-36.948
80.000,-37.931
80.000,-38.931
80.000,-39.931
80.000,-40.931
81.000,-40.948
82.000,-40.948
83.000,-40.948
84.000,-40.948
85.000,-40.948
86.000,-40.948
87.000,-40.948
88.000,-40.948
88.000,-41.948
88.000,-42.948
88.000,-43.948
88.000,-44.948
89.000,-44.948
90.000,-44.948
91.000,-44.948
92.000,-44.948
92.447,-44.054
92.894,-43.159
93.342,-42.265
93.789,-41.370
94.236,-40.476
94.683,-39.582
95.130,-38.687
95.578,-37.793
96.113,-36.948
97.113,-36.948
98.113,-36.948
99.113,-36.948
100.113,-36.948
101.113,-36.948
102.113,-36.948
103.113,-36.948
104.107,-36.841
104.814,-36.134
105.522,-35.427
106.229,-34.720
106.936,-34.012
107.643,-33.305
108.577,-32.948
109.577,-32.948
110.577,-32.948
111.577,-32.948
112.577,-32.948
113.577,-32.948
114.577,-32.948
115.577,-32.948
116.000,-32.042
116.000,-31.042
116.000,-30.042
116.000,-29.042
116.996,-28.948
117.996,-28.948
118.996,-28.948
119.996,-28.948
120.996,-28.948
121.996,-28.948
122.996,-28.948
123.996,-28.948
124.000,-27.948
124.000,-26.948
124.000,-25.948
124.000,-24.948
124.000,-23.948
