X_(px),Y_deviation_(px)
3,-413.662
3,-416.662
6,-416.662
9,-419.662
12,-419.662
15,-419.662
15,-422.662
18,-422.662
21,-422.662
21,-425.662
21,-422.662
24,-419.662
27,-419.662
27,-416.662
30,-416.662
33,-413.662
33,-410.662
36,-410.662
36,-407.662
36,-404.662
39,-404.662
42,-404.662
45,-404.662
48,-404.662
51,-404.662
54,-404.662
57,-404.662
60,-401.662
63,-398.662
63,-395.662
69,-395.662
72,-392.662
75,-392.662
75,-389.662
75,-386.662
72,-383.662
72,-380.662
72,-377.662
72,-374.662
69,-374.662
72,-374.662
81,-374.662
84,-371.662
87,-371.662
90,-371.662
90,-368.662
93,-368.662
96,-368.662
99,-365.662
102,-365.662
102,-362.662
105,-362.662
108,-362.662
111,-359.662
111,-356.662
114,-356.662
114,-353.662
117,-353.662
120,-350.662
120,-347.662
123,-347.662
123,-344.662
126,-344.662
129,-344.662
132,-344.662
135,-341.662
141,-341.662
150,-341.662
159,-341.662
165,-341.662
177,-341.662
183,-341.662
192,-341.662
198,-338.662
201,-338.662
204,-338.662
207,-338.662
207,-335.662
210,-335.662
213,-335.662
213,-332.662
216,-332.662
219,-329.662
222,-329.662
228,-326.662
228,-323.662
231,-323.662
231,-320.662
234,-320.662
237,-317.662
240,-317.662
243,-317.662
246,-314.662
249,-311.662
252,-311.662
258,-311.662
258,-308.662
264,-308.662
267,-308.662
270,-308.662
270,-305.662
273,-305.662
276,-305.662
279,-305.662
282,-305.662
282,-302.662
285,-302.662
288,-302.662
288,-299.662
291,-299.662
291,-296.662
294,-296.662
294,-293.662
297,-293.662
297,-290.662
300,-290.662
303,-287.662
306,-287.662
309,-287.662
312,-287.662
315,-284.662
318,-284.662
321,-284.662
324,-284.662
324,-281.662
324,-278.662
327,-278.662
327,-275.662
330,-275.662
333,-275.662
333,-272.662
336,-272.662
339,-272.662
342,-272.662
345,-272.662
348,-272.662
351,-272.662
354,-272.662
357,-272.662
360,-272.662
363,-272.662
366,-272.662
366,-275.662
369,-275.662
372,-275.662
375,-275.662
378,-275.662
381,-281.662
381,-284.662
387,-287.662
390,-290.662
390,-293.662
393,-293.662
396,-296.662
399,-296.662
399,-299.662
402,-299.662
402,-302.662
405,-302.662
405,-305.662
408,-305.662
408,-308.662
411,-308.662
411,-311.662
414,-311.662
417,-311.662
417,-314.662
420,-317.662
423,-317.662
426,-317.662
429,-320.662
432,-320.662
432,-323.662
435,-323.662
438,-323.662
441,-323.662
441,-326.662
444,-329.662
447,-329.662
450,-329.662
450,-332.662
453,-332.662
456,-335.662
459,-335.662
462,-338.662
465,-338.662
465,-335.662
468,-332.662
468,-329.662
471,-326.662
471,-323.662
474,-320.662
474,-314.662
474,-311.662
474,-308.662
474,-305.662
474,-299.662
471,-296.662
471,-293.662
468,-290.662
468,-287.662
468,-284.662
465,-281.662
465,-278.662
465,-275.662
462,-275.662
462,-272.662
459,-272.662
459,-269.662
456,-269.662
456,-266.662
453,-263.662
450,-260.662
447,-257.662
444,-257.662
444,-254.662
444,-251.662
444,-248.662
444,-245.662
444,-242.662
447,-242.662
450,-242.662
453,-239.662
456,-239.662
459,-236.662
462,-236.662
465,-236.662
468,-233.662
474,-233.662
477,-233.662
480,-230.662
483,-230.662
486,-230.662
489,-230.662
495,-227.662
501,-224.662
504,-224.662
510,-224.662
513,-224.662
519,-221.662
522,-221.662
525,-221.662
528,-221.662
531,-218.662
534,-218.662
534,-215.662
537,-215.662
540,-215.662
543,-215.662
546,-215.662
549,-212.662
552,-212.662
555,-212.662
555,-209.662
558,-209.662
561,-206.662
564,-203.662
567,-203.662
570,-203.662
570,-200.662
573,-200.662
576,-200.662
579,-200.662
582,-197.662
585,-197.662
585,-194.662
588,-194.662
591,-191.662
594,-191.662
597,-191.662
600,-191.662
603,-191.662
606,-188.662
609,-188.662
612,-188.662
615,-188.662
618,-188.662
618,-185.662
621,-185.662
624,-185.662
627,-185.662
630,-182.662
633,-179.662
636,-179.662
639,-176.662
642,-176.662
645,-176.662
645,-173.662
648,-173.662
651,-170.662
654,-170.662
654,-167.662
657,-167.662
657,-164.662
660,-164.662
663,-164.662
666,-164.662
669,-164.662
672,-161.662
675,-161.662
678,-161.662
681,-161.662
684,-161.662
687,-161.662
690,-161.662
693,-161.662
696,-161.662
699,-161.662
702,-161.662
705,-161.662
708,-161.662
711,-161.662
714,-158.662
717,-158.662
717,-155.662
720,-155.662
723,-155.662
726,-155.662
729,-155.662
732,-155.662
735,-155.662
738,-155.662
741,-155.662
744,-155.662
747,-155.662
750,-155.662
753,-155.662
756,-158.662
759,-158.662
762,-158.662
765,-158.662
765,-155.662
768,-152.662
768,-149.662
771,-149.662
774,-146.662
774,-143.662
777,-143.662
780,-140.662
783,-140.662
786,-137.662
789,-137.662
795,-137.662
801,-137.662
804,-137.662
804,-134.662
807,-134.662
810,-134.662
813,-134.662
816,-134.662
822,-134.662
825,-134.662
828,-134.662
831,-134.662
834,-134.662
837,-134.662
840,-134.662
846,-131.662
849,-131.662
852,-128.662
855,-128.662
858,-128.662
861,-125.662
864,-125.662
867,-125.662
870,-125.662
873,-125.662
876,-125.662
876,-122.662
879,-122.662
882,-122.662
885,-119.662
888,-119.662
891,-119.662
897,-119.662
900,-119.662
903,-119.662
906,-116.662
909,-116.662
912,-116.662
915,-116.662
918,-116.662
918,-113.662
921,-113.662
924,-113.662
924,-110.662
927,-110.662
930,-107.662
933,-107.662
936,-104.662
939,-104.662
942,-101.662
945,-101.662
948,-98.662
954,-92.662
957,-83.662
960,-77.662
960,-74.662
963,-74.662
963,-71.662
963,-68.662
966,-68.662
966,-65.662
969,-65.662
972,-62.662
975,-62.662
978,-62.662
981,-62.662
984,-59.662
987,-56.662
990,-56.662
993,-56.662
1002,-56.662
1005,-53.662
1014,-53.662
1020,-50.662
1029,-50.662
1038,-50.662
1047,-47.662
1050,-47.662
