X_(px),Y_deviation_(px)
3,-55.634
6,-55.634
9,-55.634
12,-55.634
15,-55.634
15,-58.634
15,-61.634
15,-64.634
18,-67.634
18,-70.634
21,-70.634
21,-73.634
24,-73.634
27,-73.634
27,-76.634
27,-79.634
30,-79.634
30,-82.634
33,-82.634
33,-85.634
36,-85.634
36,-82.634
39,-82.634
39,-79.634
39,-76.634
39,-73.634
39,-70.634
39,-67.634
39,-64.634
39,-61.634
39,-58.634
39,-55.634
42,-55.634
42,-52.634
42,-49.634
42,-46.634
42,-43.634
42,-40.634
42,-37.634
42,-34.634
45,-34.634
45,-31.634
48,-31.634
51,-25.634
54,-25.634
57,-22.634
60,-22.634
63,-19.634
66,-19.634
69,-19.634
72,-19.634
75,-19.634
78,-19.634
81,-22.634
81,-25.634
84,-25.634
87,-25.634
87,-28.634
87,-31.634
90,-31.634
90,-34.634
90,-37.634
93,-37.634
93,-40.634
93,-43.634
93,-46.634
93,-49.634
93,-52.634
93,-55.634
96,-55.634
99,-55.634
99,-58.634
102,-58.634
105,-58.634
108,-55.634
111,-55.634
114,-55.634
117,-55.634
120,-52.634
123,-49.634
126,-49.634
129,-49.634
132,-46.634
135,-46.634
138,-46.634
141,-46.634
144,-43.634
147,-43.634
150,-43.634
150,-40.634
153,-40.634
153,-37.634
156,-37.634
159,-37.634
162,-37.634
165,-37.634
168,-37.634
168,-40.634
171,-40.634
174,-40.634
174,-43.634
177,-43.634
180,-43.634
180,-46.634
183,-46.634
186,-46.634
189,-46.634
192,-46.634
192,-49.634
195,-49.634
198,-49.634
201,-49.634
201,-52.634
201,-55.634
204,-55.634
207,-55.634
210,-55.634
213,-55.634
216,-55.634
219,-55.634
222,-55.634
225,-55.634
228,-55.634
228,-52.634
231,-49.634
237,-46.634
240,-46.634
243,-46.634
249,-43.634
255,-43.634
258,-40.634
264,-37.634
267,-37.634
270,-37.634
276,-34.634
279,-34.634
282,-34.634
285,-34.634
288,-34.634
291,-34.634
294,-34.634
297,-34.634
300,-34.634
303,-34.634
306,-34.634
309,-34.634
309,-31.634
312,-31.634
315,-31.634
318,-31.634
321,-31.634
324,-31.634
327,-31.634
333,-31.634
339,-31.634
342,-31.634
345,-31.634
348,-31.634
351,-31.634
354,-31.634
357,-31.634
360,-34.634
363,-34.634
366,-34.634
369,-34.634
372,-34.634
375,-34.634
378,-34.634
381,-34.634
384,-34.634
387,-34.634
390,-34.634
393,-34.634
399,-31.634
405,-31.634
411,-31.634
414,-31.634
417,-28.634
420,-28.634
423,-28.634
423,-25.634
426,-25.634
429,-25.634
432,-25.634
435,-25.634
435,-22.634
438,-22.634
441,-22.634
444,-22.634
447,-22.634
450,-22.634
453,-22.634
456,-22.634
459,-22.634
462,-22.634
462,-25.634
465,-25.634
468,-25.634
471,-25.634
471,-28.634
474,-28.634
474,-31.634
477,-31.634
480,-31.634
483,-34.634
486,-34.634
486,-37.634
489,-37.634
492,-37.634
492,-40.634
492,-43.634
495,-43.634
495,-46.634
495,-49.634
498,-49.634
498,-52.634
501,-55.634
501,-58.634
504,-58.634
504,-61.634
507,-61.634
507,-64.634
507,-67.634
510,-67.634
510,-64.634
513,-64.634
516,-61.634
519,-58.634
519,-55.634
522,-52.634
525,-49.634
525,-46.634
528,-46.634
531,-43.634
534,-43.634
534,-40.634
537,-40.634
537,-37.634
540,-37.634
543,-37.634
546,-37.634
549,-37.634
552,-37.634
555,-37.634
555,-34.634
558,-34.634
561,-34.634
564,-34.634
567,-31.634
