distance,wt_fe
0,0.977283
1.260546875,0.992075
2.52109375,0.971877
3.781640625,0.940771
5.0421875,0.899602
6.302734375,0.923988
7.56328125,0.961154
8.823828125,0.937365
10.084375,0.972687
11.34492188,0.941033
12.60546875,0.939085
13.86601563,0.959679
15.1265625,0.969961
16.38710938,0.969914
17.64765625,0.9194
18.90820313,0.960999
20.16875,0.992429
21.42929688,0.950024
22.68984375,0.894089
23.95039063,0.940353
25.2109375,0.912025
26.47148438,0.957371
27.73203125,0.974791
28.99257813,0.815917
30.253125,0.477461
31.51367188,0.322397
32.77421875,0.586663
34.03476563,0.170891
35.2953125,0.23857
36.55585938,0.125112
37.81640625,0.10289
39.07695313,0.0693389
40.3375,0.0628874
41.59804688,0.058752
42.85859375,0.0578886
44.11914063,0.0550938
45.3796875,0.0564398
46.64023438,0.0473128
47.90078125,0.0462652
49.16132813,0.0425928
50.421875,0.0293536
51.68242188,0.0331774
52.94296875,0.0305223
54.20351563,0.0250484
55.4640625,0.0333832
56.72460938,0.0620922
57.98515625,0.0515221
59.24570313,0.0470768
60.50625,0.0490541
61.76679688,0.0484138
63.02734375,0.0433075
64.28789063,0.0392008
65.5484375,0.0350566
66.80898438,0.0294933
68.06953125,0.0368304
69.33007813,0.0232473
70.590625,0.0324019
71.85117188,0.0268913
73.11171875,0.0300221
74.37226563,0.0286056
75.6328125,0.0483513
76.89335938,0.0439177
78.15390625,0.0568183
79.41445313,0.0498891
80.675,0.0475622
81.93554688,0.0447361
83.19609375,0.0502118
84.45664063,0.0512948
85.7171875,0.062605
86.97773438,0.0511463
88.23828125,0.0490185
89.49882813,0.0485785
90.759375,0.0440144
92.01992188,0.0405591
93.28046875,0.0473203
94.54101563,0.0314741
95.8015625,0.028898
97.06210938,0.030882
98.32265625,0.0458568
99.58320313,0.0553685
100.84375,0.0411752
102.1042969,0.0458181
103.3648438,0.0527605
104.6253906,0.0525354
105.8859375,0.0452836
107.1464844,0.0440157
108.4070313,0.0498078
109.6675781,0.0451007
110.928125,0.0476792
112.1886719,0.0558183
113.4492188,0.0466463
114.7097656,0.0383312
115.9703125,0.0528861
117.2308594,0.0484818
118.4914063,0.0468707
119.7519531,0.0207058
121.0125,0.0205698
122.2730469,0.00722987
123.5335938,0.0326758
124.7941406,0.0158151
126.0546875,5.10E-06
127.3152344,2.21E-06
128.5757813,5.75E-07
129.8363281,0.00221789
131.096875,0.00581042
132.3574219,0.0396851
133.6179688,0.0417096
134.8785156,0.0580947
136.1390625,0.0462373
137.3996094,0.0512269
138.6601563,0.0442912
139.9207031,0.0527008
141.18125,0.054519
142.4417969,0.0454841
143.7023438,0.0478236
144.9628906,0.0282831
146.2234375,0.0538166
147.4839844,0.043998
148.7445313,0.0560568
150.0050781,0.0450071
151.265625,0.0586033
152.5261719,0.046186
153.7867188,0.0452277
155.0472656,0.0530591
156.3078125,0.0345644
157.5683594,0.0287624
158.8289063,0.0300128
160.0894531,0.0338731
