Time,Step,P_N2O_tank,P_N2O_tank_psi,P_N2O_inj,P_fu_tank,P_fu_tank_psi,P_fu_inj,gam0,MW,R,c*,╢D1,Pc_raw,dP/dt,Pc,Pc_psi,ΔP_ox,ΔP_ox (psi),ΔP_fu,ΔP_fu (psi),Me,Pe,Pe_psi,rho_o,m_dot_o,Q_o,µ_o,v_o_line,Re_o,cgd_o,dwc_o,Q_o_gpm,dP_o_Cv,dP_o_line,dP_o_total,dP_o_total_psi,rho_f,m_dot_f,Q_f,v_f_line,Re_f,cgd_f,dwc_f,Q_f_gpm,dP_f_Cv,dP_f_line,dP_f_total,dP_f_total_psi,m_dot,m_oxgen,m_ox,m_fgen,m_f,MR,T0,Te,ve,╢D1,╢D2,F_raw,dF/dt,F,F_lbf,J,J_deliv,Status,N2O Status
0,0.001,5864,850,5864,5760,835,5760,1.2,29,287,500,1,0,0,0,0,5864,850,5760,835,0.5,0,0,727,2.77,0.004,5.94E-05,9.2,2578332,9.918,0.01,60.43,0,1370,1370,0.2,789,0.789,0.001,8.9,67332,7.239,0.019,15.85,0,194393,194393,28.2,3.559,0.0028,31.1169,0.00079,8.50886,3.51,500,488,205,1,1,729,0,729,164,0.7,0,Burning,Liquid
0.001,0.001,5864,850,5864,5760,835,5760,1.2,29,287,1000,0.75,2744,2743588,206,30,5658,821,5555,806,1,2.1,0.3,727,2.745,0.004,5.94E-05,9.1,2555511,9.924,0.01,59.89,0,1344,134,0,,0.782,0.001,8.9,66725,7.123,0.02,15.71,0,197189,19719,2.9,3.527,0.0027,31.1142,0.00078,8.50807,3.51,1000,909,560,0.75,1500,1974,1244472,548,123,0.5,1,Burning,Liquid
0.002,0.001,5864,850,5863,5760,835,5740,1.169,23.5,354,1548,1,4208,4002280,842,122,5022,728,4899,711,2.82,24,3.5,732,2.659,0.004,6.02E-05,8.7,2443413,9.889,0.01,57.57,0,1260,252,0,,0.755,0.001,8.5,64409,7.106,0.02,15.16,0,184591,36918,5.4,3.414,0.0027,31.1114,0.00075,8.50729,3.52,1214,726,1469,0.752,1500,4572,4024157,413,93,0.4,1,Burning,Liquid
0.003,0.001,5863,850,5863,5760,835,5723,1.188,23.6,352,1552,1,4086,3243954,1226,178,4637,673,4497,652,2.82,36,5.2,732,2.566,0.004,6.02E-05,8.4,2357735,9.864,0.01,55.55,0,1180,354,0.1,,0.726,0.001,8.2,61952,7.075,0.02,14.59,0,172301,51690,7.5,3.292,0.0026,31.1088,0.00073,8.50653,3.53,1218,697,1447,0.754,1500,4387,3973418,312,70,0.3,2,Burning,Liquid
0.004,0.001,5863,850,5863,5760,835,5708,1.191,23.6,352,1553,1,3941,2715153,1576,229,4287,622,4132,599,2.82,46.5,6.7,732,2.472,0.003,6.02E-05,8.1,2271069,9.837,0.01,53.51,0,1100,440,0.1,,0.697,0.001,7.9,59489,7.044,0.02,14.01,0,160279,64112,9.3,3.169,0.0025,31.1062,0.0007,8.50581,3.55,1223,696,1446,0.756,1500,4264,3951058,237,53,0.2,2,Burning,Liquid
0.005,0.001,5863,850,5863,5760,835,5696,1.195,23.7,352,1553,1,3795,2218425,1897,275,3965,575,3798,551,2.82,56.3,8.2,732,2.379,0.003,6.02E-05,7.8,2186009,9.809,0.01,51.5,0,1025,513,0.1,,0.669,0.001,7.6,57082,7.012,0.02,13.44,0,148914,74457,10.8,3.048,0.0024,31.1037,0.00067,8.50511,3.56,1225,690,1442,0.76,1500,4130,3892737,182,41,0.2,2,Burning,Liquid
0.006,0.001,5863,850,5862,5760,835,5685,1.197,23.7,351,1554,1,3651,1753431,2190,318,3672,533,3495,507,2.82,65.1,9.4,732,2.29,0.003,6.02E-05,7.5,2103879,9.781,0.01,49.57,0,955,573,0.1,,0.642,0.001,7.3,54763,6.98,0.021,12.89,0,138315,82989,12,2.932,0.0023,31.1013,0.00064,8.50444,3.57,1228,689,1442,0.765,1500,4010,3828220,140,31,0.1,2,Burning,Liquid
0.007,0.001,5863,850,5862,5759,835,5676,1.199,23.7,351,1554,1,3512,1321265,2458,357,3404,494,3218,467,2.82,73.4,10.6,732,2.204,0.003,6.02E-05,7.2,2025235,9.753,0.011,47.72,0,890,623,0.1,,0.616,0.001,7,52545,6.948,0.021,12.37,0,128505,89953,13,2.82,0.0022,31.099,0.00062,8.5038,3.58,1229,686,1440,0.771,1500,3887,3747275,109,25,0.1,3,Burning,Liquid
0.008,0.001,5863,850,5862,5759,835,5669,1.201,23.7,351,1554,1,3379,920284,2703,392,3159,458,2967,430,2.93,65.6,9.5,732,2.123,0.003,6.02E-05,7,1950269,9.725,0.011,45.95,0,830,664,0.1,,0.591,0.001,6.7,50432,6.917,0.021,11.87,0,119458,95567,13.9,2.714,0.0021,31.0968,0.00059,8.50318,3.59,1230,661,1470,0.779,1500,3776,3667247,86,19,0.1,3,Burning,Liquid
0.009,0.001,5863,850,5862,5759,835,5664,1.202,23.7,351,1554,1,3251,548579,2926,424,2936,426,2737,397,2.93,71.2,10.3,732,2.045,0.003,6.02E-05,6.7,1878994,9.698,0.011,44.27,0,775,698,0.1,,0.568,0.001,6.4,48424,6.886,0.021,11.4,0,111132,100019,14.5,2.613,0.002,31.0947,0.00057,8.50259,3.6,1231,660,1469,0.79,1500,3657,3570856,69,16,0.1,3,Burning,Liquid
0.01,0.001,5862,850,5862,5759,835,5659,1.202,23.7,351,1554,1,3130,204071,3028,439,2885,418,2684,389,2.93,73.8,10.7,732,1.998,0.003,6.02E-05,6.6,1835457,9.681,0.011,43.24,0,742,742,0.1,,0.553,0.001,6.3,47193,6.867,0.021,11.11,0,106117,106117,15.4,2.551,0.002,31.0927,0.00055,8.50203,3.61,1232,659,1468,0.804,1500,3580,3510293,1473,331,1.5,3,Burning,Liquid
0.011,0.001,5862,850,5862,5759,835,5653,1.203,23.7,351,1554,1,3056,28181,3042,441,2852,414,2647,384,2.93,74.2,10.8,732,1.968,0.003,6.02E-05,6.5,1808599,9.671,0.011,42.61,0,722,722,0.1,,0.544,0.001,6.2,46419,6.855,0.021,10.93,0,103024,103024,14.9,2.512,0.002,31.0907,0.00054,8.50147,3.62,1232,658,1467,1,1500,3524,2050609,2499,562,2.5,4,Burning,Liquid
0.012,0.001,5862,850,5861,5759,835,5656,1.203,23.7,351,1554,1,3011,-31802,3026,439,2843,412,2638,383,2.93,73.8,10.7,732,1.952,0.003,6.02E-05,6.4,1793853,9.665,0.011,42.26,0,711,711,0.1,,0.539,0.001,6.1,45993,6.849,0.021,10.83,0,101334,101334,14.7,2.491,0.002,31.0887,0.00054,8.50093,3.62,1232,658,1467,1,1500,3492,992935,2995,673,3,7,Burning,Liquid
0.013,0.001,5862,850,5861,5759,835,5657,1.203,23.7,351,1554,0.995,2985,-41109,2998,435,2853,414,2649,384,2.93,73.2,10.6,732,1.946,0.003,6.02E-05,6.4,1788028,9.663,0.011,42.13,0,707,707,0.1,,0.537,0.001,6.1,45826,6.846,0.021,10.79,0,100666,100666,14.6,2.483,0.0019,31.0868,0.00054,8.50039,3.62,1231,658,1467,1,1500,3475,479624,3235,727,3.2,10,Burning,Liquid
